BARCODE,ITEM CODE,DESCRIPTION 1,DESCRITION 2,DESCRIPTION 3,UNITS,DIVISION,GROUP,CLASSIFICATION 1,CLASSIFICATION 2, COST , SELLING PRICE , MODEL QUANTITY ,SUPPLIER CODE,MANUFACTURER, QUANTITY , REORDER POINT 
,HOLISTIC ADULT,HOLISTIC ADULT,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 93.67 , 110.00 ,,NATPET,,,
,HOLISTIC PUPPY,HOLISTIC PUPPY,,,15 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,505.00 "," 1,700.00 ",,NATPET,, 2 ,
,HOLISTIC PUPPY,HOLISTIC PUPPY,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 100.33 , 120.00 ,,NATPET,, 4 ,
,INTEGRITY ADULT,INTEGRITY,,,22.7 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,120.00 "," 1,270.00 ",, 4AR ,,,
,INTEGRITY ADULT,INTEGRITY,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 49.78 , 60.00 ,, 4AR ,,,
,INTEGRITY PUP,INTEGRITY PUP,,,22.7 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,210.00 "," 1,380.00 ",, 4AR ,, 2 ,
,INTEGRITY PUP,INTEGRITY PUP,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 53.54 , 65.00 ,, 4AR ,, 1 ,
,OBM,OPTIMA BEEF MEAL,,,22.6 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,075.00 "," 1,200.00 ",,NATPET,, 2 ,
,OBM,OPTIMA BEEF MEAL,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 47.57 , 57.00 ,,NATPET,, 17 ,
,OHP,OPTIMA HI PRO,,,22.6 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,275.00 "," 1,420.00 ",,NATPET,, 1 ,
,OHP,OPTIMA HI PRO,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 56.42 , 68.00 ,,NATPET,,,
,OLR,OPTIMA L&R,,,22.6 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,455.00 "," 1,630.00 ",,NATPET,,,
,OLR,OPTIMA L&R,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 64.38 , 80.00 ,,NATPET,,,
,PED ADULT,PEDIGREE,,,20 KGS,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,648.30 "," 1,850.00 ",,SIMON,, 1 ,
,PED ADULT,PEDIGREE,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 82.42 , 95.00 ,,SIMON,, 8 ,
,PEDIGEE LAMB,PEDIGEE LAMB,,,10 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 929.27 ," 1,020.00 ",,SIMON,, 1 ,
,PEDIGEE LAMB,PEDIGEE LAMB,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 92.93 , 105.00 ,,SIMON,, 4 ,
,PED PUP,PED PUP,,,15 KGS,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,725.70 "," 1,900.00 ",,SIMON,,,
,PED PUP,PED PUP,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 115.05 , 130.00 ,,SIMON,,,
,PET ONE ADULT,PET ONE ADULT,,,18.1 KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,033.00 "," 1,120.00 ",,MAXIVETE,,,
,PET ONE ADULT,PET ONE ADULT,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 57.07 , 65.00 ,,MAXIVETE,,,
,PET ONE PUP,PET ONE PUP,,,9.05KG,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 733.00 , 795.00 ,,MAXIVETE,,,
,PET ONE PUP,PET ONE PUP,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 81.44 , 90.00 ,,MAXIVETE,,,
,PETONE BEEF TERIYAKI,PETONE BEEF TERIYAKI,,,8 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 340.00 , 400.00 ,,MAXIVETE,,,
,PETONE BEEF TERIYAKI,PETONE BEEF TERIYAKI,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 42.50 , 55.00 ,,MAXIVETE,,,
,VHE,VITALITY HI ENERGY,,,15 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,600.00 "," 1,750.00 ",,CONSUMER CARE,,,
,CHE,VITALITY HI ENERGY,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 106.67 , 123.00 ,,CONSUMER CARE,, 1 ,
,VVM,VITALITY VALUE MEAL,,,20 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,200.00 "," 1,350.00 ",,CONSUMER CARE,,,
,VVM,VITALITY VALUE MEAL,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 60.00 , 70.00 ,,CONSUMER CARE,, 17 ,
,VCL,VITALITY CLASSIC,,,15 KGS.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,400.00 "," 1,550.00 ",,CONSUMER CARE,,,
,VCL,VITALITY CLASSIC,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 93.33 , 108.00 ,,CONSUMER CARE,,,
,VHE,VITALITY HI ENERGY,,,15 KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,800.00 "," 2,145.00 ",,CONSUMER CARE,,,
,CHE,VITALITY HI ENERGY,,,SACHET,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 120.00 , 145.00 ,,CONSUMER CARE,, 4 ,
,VVM,VITALITY VALUE MEAL,,,15 KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,160.00 "," 1,300.00 ",,CONSUMER CARE,,,
,VVM,VITALITY VALUE MEAL,,,SACHET,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 77.33 , 90.00 ,,CONSUMER CARE,,,
,VCL,VITALITY CLASSIC,,,15 KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,620.00 "," 1,870.00 ",,CONSUMER CARE,,,
,VCL,VITALITY CLASSIC,,,SACHET,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 108.00 , 125.00 ,,CONSUMER CARE,, 3 ,
,VHE,VITALITY HI ENERGY,,,4 X 3KGS,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,360.00 ",,,CONSUMER CARE,,,
,CHE,VITALITY HI ENERGY,,,3KGS,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 340.00 , 405.00 ,,CONSUMER CARE,, 4 ,
,VVM,VITALITY VALUE MEAL,,,4 X 3KGS,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 824.00 ,,,CONSUMER CARE,,,
,VVM,VITALITY VALUE MEAL,,,3KGS,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 206.00 , 240.00 ,,CONSUMER CARE,,,
,VCL,VITALITY CLASSIC,,,4 X 3KGS,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,160.00 ",,,CONSUMER CARE,,,
,VCL,VITALITY CLASSIC,,,3KGS,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 290.00 , 335.00 ,,CONSUMER CARE,, 1 ,
,CHAPPI,CHAPPI,,,20KGS,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,," 1,105.00 "," 1,205.00 ",,SIMON,,,
,CHAPPI,CHAPPI,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY DOGFOOD,, 55.25 , 65.00 ,,SIMON,,,
,FRISKIES,FRISKIES,,,7 KGS.,POULRTY SUPPLY,DOG FOOD,DRY CAT FOOD,," 1,012.58 "," 1,115.00 ",,LEROI,, 3 ,
,FRISKIES,FRISKIES,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY CAT FOOD,, 144.65 , 165.00 ,,LEROI,, 3 ,
,IAMS,IAMS,,,15 KGS.,POULRTY SUPPLY,DOG FOOD,DRY CAT FOOD,," 2,459.00 "," 2,800.00 ",,PLU,, 3 ,
,IAMS,IAMS,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY CAT FOOD,, 163.93 , 190.00 ,,PLU,, 5 ,
,PRINCESS,PRINCESS,,,22.6 KGS.,POULRTY SUPPLY,DOG FOOD,DRY CAT FOOD,," 1,730.00 "," 1,870.00 ",,NATPET,, 9 ,
,PRINCESS,PRINCESS,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY CAT FOOD,, 76.55 , 90.00 ,,NATPET,, 13 ,
,WHISCKAS,WHISCKAS,,,7 KGS.,POULRTY SUPPLY,DOG FOOD,DRY CAT FOOD,, 875.00 , 960.00 ,,SIMON,, 3 ,
,WHISCKAS,WHISCKAS,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY CAT FOOD,, 125.00 , 140.00 ,,SIMON,, 2 ,
,KITEKAT,KITEKAT,,,7KGS.,POULRTY SUPPLY,DOG FOOD,DRY CAT FOOD,, 684.25 , 755.00 ,,SIMON,,,
,KITEKAT,KITEKAT,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY CAT FOOD,, 97.75 , 120.00 ,,SIMON,,,
,CV CAT,CV CAT,,,9 KGS,POULRTY SUPPLY,DOG FOOD,DRY CAT FOOD,, 720.00 , 780.00 ,,GOODSEASON,, 1 ,
,CV CAT,CV CAT,,,KG.,POULRTY SUPPLY,DOG FOOD,DRY CAT FOOD,, 80.00 , 90.00 ,,GOODSEASON,, 3 ,
,VITALITY CATCARE,VITALITY CATCARE,,,20KGS.,POULRTY SUPPLY,DOG FOOD,DRY CAT FOOD,," 2,350.00 "," 2,540.00 ",,CONSUMER CARE,,,
,VITALITY CATCARE,VITALITY CATCARE,,,KGS.,POULRTY SUPPLY,DOG FOOD,DRY CAT FOOD,, 117.50 , 130.00 ,,CONSUMER CARE,,,
,CORD ULO,CORD ULO,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CORD,, 7.00 , 12.00 ,,DOMENG,, 64 ,
,CORD #8,CORD #8 PAYAT,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CORD,, 7.00 , 11.00 ,,DOMENG,, 45 ,
,CORD #12,CORD # 12 ZAM,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CORD,, 10.00 , 15.00 ,,DOMENG,, 32 ,
,CORD #15,CORD # 15 LEATHER,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CORD,, 11.00 , 16.00 ,,DOMENG,, 47 ,
,CORD #16,CORD # 16 NYLON,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CORD,, 11.00 , 18.00 ,,DOMENG,, 15 ,
,CORD #18,CORD # 18 COBRA,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CORD,, 11.00 , 19.00 ,,DOMENG,, 26 ,
,CORD #20,CORD # 20 SAGUPAAN,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CORD,, 11.00 , 20.00 ,,DOMENG,, 36 ,
,CORD #22,CORD # 22 LONG STRAP,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CORD,, 11.00 , 23.00 ,,DOMENG,, 18 ,
,CORD NYLON,CORD NYLON,,,METER,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CORD,, 1.75 , 5.00 ,,DOMENG,,,
,PASO # 4,PASO # 4,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,POT,, 2.00 , 5.00 ,,VARIOUS,, 108 ,
,PASO # 5,PASO # 5,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,POT,, 3.00 , 6.00 ,,VARIOUS,, 161 ,
,PASO #6,PASO #6,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,POT,, 3.75 , 7.00 ,,VARIOUS,,,
,PASO #15,PASO #15,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,POT,, 13.00 , 18.00 ,,VARIOUS,, 18 ,
,RPOT SML,RUBBER POT SMALL,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,POT,, 17.00 , 22.00 ,,CLDS,, 32 ,
,RPOT MED,RUBBER POT MED,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,POT,, 18.00 , 25.00 ,,CLDS,, 12 ,
,RPOT LAR,RUBBER POT LARGE,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,POT,, 23.00 , 30.00 ,,CLDS,, 9 ,
,FEEDER/AUTO 5KG,AUTO FEEDER 5KG,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,FEEDER,, 105.00 , 130.00 ,,CLDS,, 9 ,
,FEEDER/AUTO 7KG,AUTO FEEDER 7KG,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,FEEDER,, 110.00 , 140.00 ,,CLDS,, 4 ,
,FEEDER/AUTO 10KG,AUTO FEEDER 10KG,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,FEEDER,, 135.00 , 170.00 ,,CLDS,, 5 ,
,"FEEDER 12""","FEEDER 12""",,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,FEEDER,, 24.00 , 30.00 ,,CLDS,, 15 ,
,"FEEDER 24""","FEEDER 24""",,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,FEEDER,, 33.00 , 42.00 ,,CLDS,,,
,FEEDER 36',FEEDER 36',,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,FEEDER,, 58.00 , 73.00 ,,CLDS,, 4 ,
,FEEDER CUP SML,FEEDER CUP SML,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,FEEDER,, 10.00 , 13.00 ,,CLDS,, 12 ,
,FEEDER CUP MED,FEEDER CUP MED,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,FEEDER,, 10.50 , 15.00 ,,CLDS,, 27 ,
,FEEDER CUP L,FEEDER CUP L,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,FEEDER,, 11.00 , 18.00 ,,CLDS,, 16 ,
,FEEDER WITH WIRE GURAD,FEEDER WITH WIRE GURAD,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,FEEDER,, 66.05 , 95.00 ,,CLDS,, 6 ,
,PAN FEEDER,PAN FEEDER,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,FEEDER,, 68.00 , 90.00 ,,CLDS,,,
,FEEDER SHORT/SP,SP FEEDER SHORT,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,FEEDER,, 71.48 , 88.00 ,,CLDS,, 2 ,
,FEEDER LONG/SP,SP FEEDER LONG,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,FEEDER,, 105.23 , 130.00 ,,CLDS,, 1 ,
,WATERER 1/8,WATERER 1/8,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,WATERER,, 18.00 , 25.00 ,,GENERIS,, 9 ,
,WATERER 1/4G,WATERER 1/4G,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,WATERER,, 20.00 , 28.00 ,,GENERIS,, 9 ,
,WATERER 1/2G,WATERER 1/2G,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,WATERER,, 23.00 , 30.00 ,,GENERIS,, 19 ,
,WATERER 3/4G,WATERER 3/4G,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,WATERER,, 33.00 , 45.00 ,,GENERIS,, 6 ,
,WATERER 1G,WATERER 1G,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,WATERER,, 31.00 , 40.00 ,,GENERIS,, 13 ,
,WATERER/SP 1L,WATERER/SP 1L,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,WATERER,, 30.78 , 42.00 ,,GENERIS,, 7 ,
,WATERER/SP 1G,WATERER/SP 1G,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,WATERER,, 87.36 , 110.00 ,,GENERIS,, 4 ,
,WATERER/SP 2G,WATERER/SP 2G,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,WATERER,, 147.92 , 175.00 ,,GENERIS,, 7 ,
,WATER NOZZLE,WATER NOZZLE,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,WATERER,, 125.00 , 165.00 ,,,, 6 ,
,BAYONG,BAYONG,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CARRIER,, 20.00 , 28.00 ,,VARIOUS,, 27 ,
,TCSK,TEXAS CARRIER SINGLE CARTON,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CARRIER,, 35.00 , 60.00 ,,VARIOUS,, 4 ,
,TCSP,TEXAS CARRIER SINGLE PLASTIC,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CARRIER,, 55.00 , 80.00 ,,VARIOUS,, 5 ,
,TCDK,TEXAS CARRIER DOUBLE CARTON,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CARRIER,, 50.00 , 80.00 ,,VARIOUS,, 1 ,
,TCDP,TEXAS CARRIER DOUBLE PLASTIC,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CARRIER,, 105.00 , 160.00 ,,VARIOUS,, 4 ,
,FLAT BOX DOUBLE,FLAT BOX DOUBLE,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CARRIER,, 55.00 , 80.00 ,,VARIOUS,,,
,TCDK COLLAPSIBLE,TCDK COLLAPSIBLE,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CARRIER,, 48.00 , 95.00 ,,VARIOUS,,,
,PIGEON BOX,PIGEON BOX,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,CARRIER,, 35.00 , 55.00 ,,VARIOUS,, 5 ,
,PEN/BREEDING,BREEDING PEN,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,PEN,, 431.00 , 550.00 ,,CLDS,, 1 ,
,PEN/CHICK,CHICK PEN,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,PEN,, 509.00 , 650.00 ,,CLDS,, 2 ,
,PEN/FLYING,FLYING PEN,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,PEN,," 1,375.00 "," 1,700.00 ",,CLDS,,,
,PEN/FOLDING LAMINATED,FOLDING PEN LAMINATED,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,PEN,," 1,650.00 "," 2,070.00 ",,CLDS,,,
,PEN/FOLDING PLASTIC,FOLDING PEN PLASTIC,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,PEN,," 1,025.00 "," 1,250.00 ",,CLDS,,,
,PEN/RUNNING,RUNNING PEN,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,PEN,," 1,038.00 "," 1,300.00 ",,CLDS,,,
,PEN/SCRATCH XL,SCRATCHPEN XL,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,PEN,, 179.00 , 210.00 ,,GA METALS,, 15 ,
,PEN/ SCRATCH SKY,SCRATCHPEN L BLUE,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,PEN,, 335.00 , 400.00 ,,CLDS,, 2 ,
,PEN/SCRATCH DARK BLUE,SCRATCHPEN D BLUE,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,PEN,, 397.00 , 475.00 ,,CLDS,, 2 ,
, PEN/ RS DUAL ,RS DUALPEN,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,PEN,, 336.09 , 425.00 ,, APT ,, 3 ,
,GLOVES ORD,GLOVES ORD,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,GLOVES,, 17.00 , 25.00 ,,DOMENG,, 7 ,
,GLOVES SEMI LEATHER,GLOVES SEMI LEATHER,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,GLOVES,, 47.00 , 70.00 ,,CLDS,, 5 ,
,GLOVES LEATHER,GLOVES LEATHER,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,GLOVES,, 50.00 , 80.00 ,,CLDS,,,
,GLOVES 85,GLOVES 85,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,GLOVES,, 60.00 , 85.00 ,,CLDS,,,
,GLOVES PURE LEATHER,GLOVES PURE LEATHER,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,GLOVES,, 85.00 , 110.00 ,,CLDS,,,
,GLOVES/RS BUDGET ,RS BUDGET GLOVES,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,GLOVES,, 15.92 , 25.00 ,, APT ,,,
,GLOVES/RS SOFT,RS SOFT GLOVES,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,GLOVES,, 30.95 , 50.00 ,, APT ,, 3 ,
,GLOVES/RS HARD,RS HARD GLOVES,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,GLOVES,, 61.91 , 95.00 ,, APT ,, 1 ,
,SYRINGE/FG-EURO,FIBER GLASS EUROPLEX 10CC,,,10CC,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,SYRINGE,, 395.00 , 485.00 ,,CLDS,, 1 ,
,SYRINGE/FG-EURO,FIBER GLASS EUROPLEX 20CC,,,20CC,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,SYRINGE,, 425.00 , 520.00 ,,CLDS,,,
,SYRINGE-FG-MDV,FIBER GLASS MDV 10CC,,,10CC,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,SYRINGE,, 270.00 , 340.00 ,,CLDS,,,
,SYRINGE-FG-MDV,FIBER GLASS MDV 20CC,,,20CC,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,SYRINGE,, 290.00 , 365.00 ,,CLDS,,,
,HYPO NEEDLE,HYPO NEEDLE,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,SYRINGE,, 12.00 , 17.00 ,,CLDS,, 18 ,
,HYPO NEEDLE 18X1,HYPO NEEDLE 18X1,,,18X1,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,SYRINGE,, 12.00 , 18.00 ,,CLDS,,,
,HYPO NEEDLE 22X 1/2,HYPO NEEDLE 22X 1/2,,,22X 1/2,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,SYRINGE,, 11.67 , 18.00 ,,CLDS,,,
,SYRINGE 1CC.,SYRINGE 1CC.,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,SYRINGE,, 3.70 , 6.00 ,,CLDS,, 51 ,
,SYRINGE 3CC.,SYRINGE 3CC.,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,SYRINGE,, 2.60 , 7.00 ,,CLDS,, 7 ,
,SYRINGE 5CC.,SYRINGE 5CC.,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,SYRINGE,, 2.80 , 8.00 ,,CLDS,, 3 ,
,SYRINGE 10CC.,SYRINGE 10CC.,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,SYRINGE,, 4.20 , 10.00 ,,CLDS,, 14 ,
,BAENA LEATHER,BAENA LEATHER,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 17.00 , 25.00 ,,CLDS,, 3 ,
,BAENA PLASTIC,BAENA PLASTIC,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 15.00 , 20.00 ,,CLDS,, 7 ,
,BAENA SPECIAL,BAENA SPECIAL,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 27.00 , 40.00 ,,CLDS,, 5 ,
,BIDBID,BIDBID,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 5.00 , 8.00 ,,CLDS,, 8 ,
,CUTTING NEEDLE,CUTTING NEEDLE,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 19.00 , 25.00 ,,CLDS,,,
,LEG BAND,LEG BAND,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 14.00 , 20.00 ,,CLDS,, 100 ,
,LEG BAND ORD,LEG BAND ORD,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 2.75 , 5.00 ,,CLDS,,,
,PAGKIT,PAGKIT,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 57.00 , 70.00 ,,CLDS,,,
,PLASTIC TAKIRA,PLASTIC TAKIRA,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 48.00 , 65.00 ,,CLDS,,,
,SAPIN,SAPIN,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 11.67 , 18.00 ,,CLDS,, 10 ,
,STRINGS STRAIGHT,STRINGS STRAIGHT,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 12.50 , 20.00 ,,CLDS,,,
,SURGICAL BLADE,SURGICAL BLADE,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 8.00 , 12.00 ,,CLDS,,,
,TIBAK QUEEN,TIBAK QUEEN,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 10.00 , 18.00 ,,CLDS,, 15 ,
,WEIGHTS,WEIGHTS,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 17.00 , 22.00 ,,CLDS,, 18 ,
,TEXAZ TRAINER,TEXAZ TRAINER,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 150.00 , 200.00 ,,CLDS,,,
,WINGBAND ALUM W/I,WINGBAND ALUM W/I,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 8.00 ,,,CLDS,,,
,WINGBAND BRASS W/I,WINGBAND BRASS W/I,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 12.50 ,,,CLDS,,,
,RS TIBAK SHOE BONDAGE,RS TIBAK SHOE BONDAGE,,,PIECE,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 17.68 , 28.00 ,,CLDS,,,
,LEG BAND/PIGEON ,PIGEON LEG BAND ,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 20.00 , 35.00 ,,CLDS,,,
,PLIERS,PLIERS,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 310.00 , 390.00 ,,CLDS,,,
,TOE PUNCHER,TOE PUNCHER,,,,POULRTY SUPPLY,FIGHTING COCK ACCESSORIES,OTHERS,, 190.00 , 240.00 ,,CLDS,,,
