BARCODE,ITEM CODE,DESCRIPTION 1,DESCRITION 2,DESCRIPTION 3,UNITS,DIVISION,GROUP,CLASSIFICATION 1,CLASSIFICATION 2, COST , SELLING PRICE , MODEL QUANTITY ,SUPPLIER CODE,MANUFACTURER, QUANTITY , REORDER POINT 
,PALYAT,PALYAT,,,KG.,POULRTY SUPPLY,INGREDIENTS,,, 8.00 , 14.00 ,,VARIOUS,, 52 ,
,DARAK ,DARAK ,,,40 KGS.,POULRTY SUPPLY,INGREDIENTS,,, 440.00 ,,,VARIOUS,,,
,DARAK ,DARAK ,,,KG.,POULRTY SUPPLY,INGREDIENTS,,, 11.00 , 14.00 ,,VARIOUS,,,
,TRIGO PINO,TRIGO PINO,,,40 KGS.,POULRTY SUPPLY,INGREDIENTS,,, 550.00 , 630.00 ,,VARIOUS,,,
,TRIGO PINO,TRIGO PINO,,,KG.,POULRTY SUPPLY,INGREDIENTS,,, 13.75 , 17.00 ,,VARIOUS,, 34 ,
,TRIGO MAGASPANG,TRIGO MAGASPANG,,,40 KGS.,POULRTY SUPPLY,INGREDIENTS,,,,,,VARIOUS,,,
,TRIGO MAGASPANG,TRIGO MAGASPANG,,,KG.,POULRTY SUPPLY,INGREDIENTS,,, -   ,,,VARIOUS,,,
,ECO,ORANGE,,,25 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 430.75 , 490.00 ,,LADECO,, 20 ,
,ECO,ORANGE,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 17.23 , 21.00 ,,LADECO,, 12 ,
,PROPEL,PROPEL BUENA,,,25 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 540.00 , 630.00 ,,JETBEST,, 8 ,
,PROPEL,PROPEL BUENA,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 21.60 , 27.00 ,,JETBEST,, 14 ,
,POWER,POWER,,,25 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 545.00 , 600.00 ,,ACD,, 4 ,
,POWER,POWER,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 21.80 , 25.00 ,,ACD,, 10 ,
,SEF,SPECIAL EF,,,25 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 610.00 , 685.00 ,,ACD,, 3 ,
,SEF,SPECIAL EF,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 24.40 , 28.50 ,,ACD,, 25 ,
,EF,SUPER EF,,,25 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 680.00 , 780.00 ,,ACD,, 3 ,
,EF,SUPER EF,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 27.20 , 33.00 ,,ACD,, 46 ,
,TOP,TOP SPEED,,,25 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 710.00 , 785.00 ,,ACD,, 3 ,
,TOP,TOP SPEED,,,KG,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 28.40 , 34.00 ,,ACD,, 13 ,
,MAIN,MAINTENANCE CONDITIONER,,,25 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 650.00 , 725.00 ,,ACD,, 1 ,
,MAIN,MAINTENANCE CONDITIONER,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 26.00 , 30.00 ,,ACD,, 30 ,
,PRECON,PRECON,,,25 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 680.00 , 755.00 ,,ACD,, 1 ,
,PRECON,PRECON,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 27.20 , 32.00 ,,ACD,, 37 ,
,FLYER MIX,FLYER MIX,,,25 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 766.50 , 900.00 ,,CLDS,, 1 ,
,FLYER MIX,FLYER MIX,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 30.66 , 37.00 ,,CLDS,, 36 ,
,BREEDER MAXI,BREEDER MAXI,,,25 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 786.50 , 920.00 ,,CLDS,,,
,BREEDER MAXI,BREEDER MAXI,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 31.46 , 38.00 ,,CLDS,,,
,ROYAL,ROYAL GRAIN,,,22.6kgs,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,," 1,006.50 "," 1,100.00 ",,CLDS,,,
,ROYAL,ROYAL GRAIN,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 44.54 , 52.00 ,,CLDS,, 4 ,
, S16 ,DG SPECIAL,,,25 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 630.17 , 740.00 ,, APT ,,,
, S16 ,DG SPECIAL,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 25.21 , 31.00 ,, APT ,, 32 ,
, S18 ,DG SLASHER,,,25 KGS.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 698.47 , 810.00 ,, APT ,, 1 ,
, S18 ,DG SLASHER,,,KG.,POULRTY SUPPLY,FIGHTING COCK FEEEDS,CONCENTRATE,, 27.94 , 34.00 ,, APT ,, 34 ,
,BSB-TB,BSB,,,24'S,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 805.16 , 865.00 ,,UNAHCO FEEDS,, 1 ,
,BSB-TB,BSB,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 33.55 , 37.50 ,,UNAHCO FEEDS,, 3 ,
,SD-TB,SD,,,24'S,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 783.52 , 842.00 ,,UNAHCO FEEDS,, 6 ,
,SD-TB,SD,,,SACHET,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 32.65 , 36.50 ,,UNAHCO FEEDS,, 26 ,
,SD4+-TB,SD4+,,,24'S,POULRTY SUPPLY,FIGHTING COCK FEEEDS,THUNDERBIRD,, 686.15 , 735.00 ,,UNAHCO FEEDS,, 3 ,
